German,English
ich,I
sie,them
das,that
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,what
zu,to
er,er
ein,a
in,in
ja,yes
mir,me
mit,with
wie,like
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,have
sind,are
war,was
von,from
wenn,when
dich,you
ihr,you
nein,no
habe,have
an,on
bin,am
noch,still
nur,only
da,there
dir,you
sich,yourself
einen,one
uns,us
hast,have
dem,the
kann,can
gut,good
auch,also
schon,already
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,from
meine,mine
um,to
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,white
keine,none
oder,or
nach,after
s,s
nichts,nothing
man,one
muss,must
werden,become
will,want
ihnen,them
geht,go
wo,where
etwas,something
oh,oh
mehr,more
bei,with
also,so
bitte,please
immer,always
hab,have
warum,why
vor,before
los,go
wieder,again
sagen,say
machen,make
danke,thank you
sehr,very much
alle,all
denn,because
mann,man
tun,do
ihm,him
zum,to
gehen,go
sehen,see
vielleicht,perhaps
einem,one
wer,who
ihre,their
diese,these
euch,you
einer,one
komm,come
gibt,gives
okay,okay
wissen,know
deine,your
soll,shall
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,much
weg,away
tut,does
am,on
des,of the
einfach,simple
leben,live
hatte,had
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,so that
ganz,completely
wollte,wanted
weißt,know
ok,ok
sicher,for sure
gesagt,said
frau,woman
nun,now
bis,until
wurde,became
leid,sorry
na,well
kannst,can
macht,makes
dieser,this
lassen,leave
hallo,hello
meinen,my
gott,god
seine,his
zwei,two
genau,exactly
waren,were
zur,to the
lass,let
klar,clear
morgen,tomorrow
leute,people
vater,father
glaube,believe
ab,from
gerade,just
tag,day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,whether
keinen,no
mutter,mother
raus,out
gemacht,made
paar,couple
mach,make
passiert,happened
dachte,thought
besser,better
musst,must
wieso,why
sir,sir
dieses,this
selbst,himself
ohne,without
her,here
sag,say
meiner,my
anderen,other
helfen,help
nacht,night
finden,find
diesen,this
gute,good
wirst,will
lange,long
ach,ah
meinem,my
gar,even
ins,into
sei,be
dort,there
weiter,to
geben,give
seit,since
gleich,the same
sagt,says
recht,right
ihren,their
richtig,right
ordnung,order
vom,from the
sieht,sees
davon,from
geh,go
diesem,this
wegen,because of
hause,home
sollten,should
hin,go
sollen,should
abend,evening
haus,house
denke,think
viele,many
drei,three
deinen,your
freund,friend
guten,good
unser,our
warte,wait
machst,make
menschen,people
essen,eat
angst,fear
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,others
tot,dead
getan,done
darf,may
erst,first
rein,in
stimmt,votes
nehmen,take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,shit
brauchen,need
gegen,against
moment,moment
junge,young
steht,stands
sonst,sons